date,NonComm_Positions_Long_All,NonComm_Positions_Short_All,net,Open_Interest_All
2021-01-19,64143,14129,50014,191540
2021-01-26,63463,18471,44992,193822
2021-02-02,69602,24973,44629,190948
2021-02-09,60719,26101,34618,183901
2021-02-16,66732,29550,37182,188119
2021-02-23,66670,38048,28622,183247
2021-03-02,61259,41989,19270,189270
2021-03-09,64027,57513,6514,211347
2021-03-16,26003,65371,-39368,145951
2021-03-23,27524,81049,-53525,160581
2021-03-30,24724,84205,-59481,166091
2021-04-06,26794,84783,-57989,164310
2021-04-13,27682,85994,-58312,165431
2021-04-20,26617,86436,-59819,162649
2021-04-27,29673,78182,-48509,154894
2021-05-04,31208,72700,-41492,152676
2021-05-11,30491,72219,-41728,152404
2021-05-18,24965,75913,-50948,154727
2021-05-25,24163,74319,-50156,153196
2021-06-01,29462,76577,-47115,162091
2021-06-08,27248,64562,-37314,161592
2021-06-15,22974,69824,-46850,155359
2021-06-22,34118,87980,-53862,190545
2021-06-29,27380,97275,-69895,195698
2021-07-06,31625,100761,-69136,205341
2021-07-13,40440,96690,-56250,203727
2021-07-20,35474,91205,-55731,192301
2021-07-27,32975,92909,-59934,196102
2021-08-03,30409,85599,-55190,189242
2021-08-10,36684,97341,-60657,206131
2021-08-17,27532,90740,-63208,196495
2021-08-24,26763,93434,-66671,194477
2021-08-31,29030,92160,-63130,193999
2021-09-07,29704,92029,-62325,204435
2021-09-14,21728,82023,-60295,192088
2021-09-21,22844,78915,-56071,191213
2021-09-28,35328,100088,-64760,219638
2021-10-05,31569,95263,-63694,226379
2021-10-12,35810,112444,-76634,243617
2021-10-19,35713,138447,-102734,266750
2021-10-26,31487,138523,-107036,265254
2021-11-02,20337,127961,-107624,251058
2021-11-09,16440,121791,-105351,243087
2021-11-16,24635,117761,-93126,252897
2021-11-23,20285,117538,-97253,251801
2021-11-30,14585,93451,-78866,216692
2021-12-07,13148,76229,-63081,205970
2021-12-14,20231,73754,-53523,176584
2021-12-21,22191,74477,-52286,183743
2021-12-28,32475,85577,-53102,203814
2022-01-04,40816,103078,-62262,234068
2022-01-11,22364,109889,-87525,234005
2022-01-18,8002,88881,-80879,201820
2022-01-25,15866,84139,-68273,197830
2022-02-01,14510,75150,-60640,194435
2022-02-08,15692,74840,-59148,196478
2022-02-15,10425,76587,-66162,199425
2022-02-22,10976,74163,-63187,194169
2022-03-01,14665,83397,-68732,208629
2022-03-08,15548,71404,-55856,208683
2022-03-15,34016,96356,-62340,215484
2022-03-22,36676,115158,-78482,248221
2022-03-29,15274,117405,-102131,239698
2022-04-05,14583,118412,-103829,242217
2022-04-12,9925,121752,-111827,245403
2022-04-19,12723,119910,-107187,251291
2022-04-26,14269,109804,-95535,237995
2022-05-03,18585,119379,-100794,254813
2022-05-10,11196,121650,-110454,247278
2022-05-17,12113,114422,-102309,241308
2022-05-24,16567,116011,-99444,237256
2022-05-31,15201,109640,-94439,239080
2022-06-07,18466,110112,-91646,266054
2022-06-14,32441,102196,-69755,232513
2022-06-21,35864,94318,-58454,218076
2022-06-28,36462,89032,-52570,213767
2022-07-05,38660,93105,-54445,217672
2022-07-12,35533,95531,-59998,223539
2022-07-19,42880,102105,-59225,229449
2022-07-26,43812,105293,-61481,229219
2022-08-02,50433,93186,-42753,236737
2022-08-09,52333,77365,-25032,225834
2022-08-16,51308,80199,-28891,228697
2022-08-23,56734,95541,-38807,242132
2022-08-30,54513,96044,-41531,247030
2022-09-06,56002,114191,-58189,281266
2022-09-13,39323,120015,-80692,281716
2022-09-20,34767,116047,-81280,250892
2022-09-27,22706,105262,-82556,244655
2022-10-04,26962,108585,-81623,243289
2022-10-11,30149,107542,-77393,245007
2022-10-18,30583,124919,-94336,264265
2022-10-25,37579,140197,-102618,272597
2022-11-01,40460,118080,-77620,258906
2022-11-08,37201,112459,-75258,251378
2022-11-15,33797,99639,-65842,233346
2022-11-22,30800,95650,-64850,227435
2022-11-29,28125,95519,-67394,228328
2022-12-06,23589,89585,-65996,223424
2022-12-13,22290,75478,-53188,226964
2022-12-20,33686,74567,-40881,182034
2022-12-27,29685,67415,-37730,173136
2023-01-03,25377,72241,-46864,172590
2023-01-10,26395,61772,-35377,175745
2023-01-17,29458,52419,-22961,176862
2023-01-24,27620,49255,-21635,173321
2023-01-31,22550,42610,-20060,168540
2023-02-07,16556,45645,-29089,164069
2023-02-14,23079,50922,-27843,174955
2023-02-21,32486,66515,-34029,186100
2023-02-28,27703,86381,-58678,200047
2023-03-07,17141,92444,-75303,211297
2023-03-14,11048,85842,-74794,179782
2023-03-21,7255,73600,-66345,169188
2023-03-28,9717,63692,-53975,169473
2023-04-04,11523,68559,-57036,178828
2023-04-11,11933,69140,-57207,176822
2023-04-18,15661,72530,-56869,177507
2023-04-25,13680,82424,-68744,184041
2023-05-02,28088,96412,-68324,202996
2023-05-09,22229,83244,-61015,192574
2023-05-16,29494,94285,-64791,200515
2023-05-23,36760,117420,-80660,226400
2023-05-30,40736,136929,-96193,243237
2023-06-06,34151,138968,-104817,245332
2023-06-13,37088,141064,-103976,252566
2023-06-20,32244,139900,-107656,238556
2023-06-27,38018,150888,-112870,251524
2023-07-03,41713,159633,-117920,265066
2023-07-11,29838,147020,-117182,252349
2023-07-18,29776,120015,-90239,230932
2023-07-25,30358,108110,-77752,223760
2023-08-01,26849,106065,-79216,229015
2023-08-08,23135,106315,-83180,229849
2023-08-15,34789,115750,-80961,247954
2023-08-22,28680,124003,-95323,246923
2023-08-29,24790,123263,-98473,245452
2023-09-05,37014,134150,-97136,268344
2023-09-12,38247,136960,-98713,270854
2023-09-19,45737,147356,-101619,265860
2023-09-26,46169,155681,-109512,285974
2023-10-03,47544,161532,-113988,282682
2023-10-10,36780,136256,-99476,259937
2023-10-17,33139,135797,-102658,267521
2023-10-24,30964,130593,-99629,260909
2023-10-31,37641,141489,-103848,277272
2023-11-07,27238,131278,-104040,259698
2023-11-14,27772,158021,-130249,273763
2023-11-21,39236,144690,-105454,264903
2023-11-28,30461,139698,-109237,260781
2023-12-05,28266,133222,-104956,267482
2023-12-12,28226,109357,-81131,257581
2023-12-19,31734,96636,-64902,185940
2023-12-26,37321,92889,-55568,188540
2024-01-02,33585,90780,-57195,184042
2024-01-09,41364,97313,-55949,200299
2024-01-16,44180,100740,-56560,213309
2024-01-23,52585,123230,-70645,243032
2024-01-30,44918,125373,-80455,242029
2024-02-06,55646,139876,-84230,259542
2024-02-13,58554,170090,-111536,304592
2024-02-20,53862,174640,-120778,305438
2024-02-27,51261,183966,-132705,309633
2024-03-05,54671,173514,-118843,314586
2024-03-12,54923,157245,-102322,325675
2024-03-19,66274,182286,-116012,302500
2024-03-26,59969,189075,-129106,305701
2024-04-02,55190,198420,-143230,316809
2024-04-09,47275,209426,-162151,324479
2024-04-16,49463,215082,-165619,331110
2024-04-23,42426,222345,-179919,336167
2024-04-30,40435,208823,-168388,334848
2024-05-07,34990,169912,-134922,299859
2024-05-14,35303,161485,-126182,297606
2024-05-21,29614,173981,-144367,301315
2024-05-28,28565,184604,-156039,325231
2024-06-04,40427,172528,-132101,303009
2024-06-11,30763,169342,-138579,319274
2024-06-18,29429,177182,-147753,297117
2024-06-25,34576,208476,-173900,340237
