ym,days,close_eom,ret_m_pct,rv20_max,rv20_mean,max_abs_ret_pct,max_range_pct,sig3_days,vol_spot_mean,vol_band
2022-12,22,132.14,-3.2755645388394656,17.991456046787686,15.325456693630667,2.4140644811275114,3.906485671191559,0,4654.545454545455,無秩序
2023-01,19,130.15,-0.07680491929018499,18.907111674649467,17.434842140191176,2.484838796260034,2.617841240595729,0,5167.315789473684,無秩序
2023-02,19,136.76,4.930945662685908,17.412728873875142,14.71021658224987,2.4425177377802387,1.2571866615561413,0,4980.421052631579,無秩序
2023-03,22,133.13,-2.081395290333075,13.968466774403698,12.203935183828706,1.4844259244924354,1.457347779642909,0,5843.5,警戒
2023-04,20,135.73,1.6266559880151066,13.893942437037579,11.361489324443424,1.43962118243458,1.8050541516245404,0,4364.85,警戒
2023-05,20,139.75,2.1846933714218366,12.17619475321036,11.232275102793704,1.8853949526292264,0.6773135605304353,0,4059.95,警戒
2023-06,22,144.85,3.462789350501287,9.864685428792962,7.569160986379449,1.0020841137549577,1.098122564647546,0,4482.590909090909,
2023-07,20,142.18,-1.85358243961034,11.102128723251676,7.797790160004297,1.7095646004521985,2.246547900121618,1,5002.3,
2023-08,22,145.91,2.2105324444231704,11.24363406179041,9.230082512397646,0.69509243765778,0.713785864240715,0,4283.909090909091,
2023-09,20,148.77,2.277538194724166,6.683878816110574,5.856528075564256,0.8174432439558175,0.9233926128591128,0,4704.6,
2023-10,21,150.29,0.3599523950444106,5.502781150540026,4.631828701480302,0.6565747826406456,0.851686738971323,0,3685.904761904762,
2023-11,20,147.06,-2.8952565112945146,9.3350566222427,6.9201620019757115,1.015508459761954,0.8662369057212065,0,4005.75,
2023-12,21,141.4,-4.757706252450513,15.197246442788447,12.72193099426687,2.647550672136254,1.387251161822848,2,4325.333333333333,無秩序
2024-01,19,147.66,2.941388520629341,16.34583536869251,12.59257714551153,1.390569496225371,1.0706057731400003,0,4453.473684210527,無秩序
2024-02,19,149.68,1.9360448214465173,8.960154335812033,7.235433026188727,1.2537862048902542,0.7014965259219744,0,3799.1052631578946,
2024-03,20,151.34,0.5565877077445176,7.8463908700777365,7.185317426742915,1.075712941204786,0.9916145348063418,0,4725.25,
2024-04,21,156.86,3.5758652316792943,7.112759888157874,4.909889952455681,0.8394042335358488,0.8933699189585895,0,4322.809523809524,
2024-05,21,157.15,-0.4697824790220548,9.833884185796173,8.967565063954478,1.525285641450833,1.3762057877813598,1,5200.047619047619,
2024-06,20,160.93,2.3959643224247693,8.3036440124948,7.11077356762909,1.107175880751312,0.9196422908606512,0,4348.1,
2024-07,22,150.91,-6.4844948241375695,13.841678931150744,7.433118532525048,2.609611479236385,2.1536014843284077,2,7396.5,警戒
2024-08,21,144.94,-3.3381661255029433,21.714742006479714,19.885582293425653,3.9086691843692503,3.3867595818815426,1,5213.666666666667,無秩序
2024-09,19,142.38,-2.838936069052799,19.534014182011333,13.27462548794251,1.5649991329719473,2.5837988826815566,0,5603.9473684210525,無秩序
2024-10,22,152.25,5.446138761357382,14.68183154963957,12.184020860926456,1.6453061059542247,1.011494252873558,0,4906.636363636364,警戒
2024-11,20,149.99,-1.6923785955410533,10.322714888278307,8.649553453220367,1.3594980627283175,2.0007795244900506,0,5375.7,
